Sample,Fq1,Fq2,Expected_sp,Genome_size,Min_genome_size,Max_genome_size,Max_SNV,Max_Contigs,Read_size,Bases_Q30,Cov_Q30,Rate_Q30,Status_Q30,Sp_detected,Status_SP,SNV_detected,Status_SNV,Expected_completeness,Expected_contamination,Marker_lineage,Completeness,Contamination,Strain_heterogeneity,Taxonomy_(contained),Genome_size_(Mbp),Gene_count,out_genome_size_(Mbp)_mean,out_genome_size_(Mbp)_std,out_gene_count_mean,out_gene_count_std,contigs,N50_(contigs),Status_Contamination,Assembly_quality,ST,MLST,Antigenic_profile,ST_patho,cgmlst_ST,h1,h2,o_antigen,serovar,Resistance_genes,Antimicrobial(class),Gene_mut(resistance)
22_LM_03314_S26,22_LM_03314_S26_R1_001.fastq.gz,22_LM_03314_S26_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,231890396,80.51,83.591,PASS,Listeria monocytogenes,PASS,2.000,FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22_LM_06317_S27,22_LM_06317_S27_R1_001.fastq.gz,22_LM_06317_S27_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,239022554,82.99,85.815,PASS,Listeria monocytogenes,PASS,0.000,PASS,98,2,c__Bacilli_(UID354),99.45,0.41,0.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_3;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,2.933013,2921,2.97686622222,0.0648666693984,3009.22222222,87.6264518381,19,450288,PASS,GOOD,37,abcZ(5);bglA(7);cat(3);dapE(5);dat(1);ldh(8);lhkA(6),1/2a;3a,-,-,-,-,-,-,-,-,-
22_LM_06318_S28,22_LM_06318_S28_R1_001.fastq.gz,22_LM_06318_S28_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,211369301,73.39,85.001,PASS,Listeria monocytogenes,PASS,1.000,PASS,98,2,c__Bacilli_(UID354),99.45,0.41,0.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_3;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,2.960426,2968,2.97686622222,0.0648666693984,3009.22222222,87.6264518381,25,272753,PASS,GOOD,37,abcZ(5);bglA(7);cat(3);dapE(5);dat(1);ldh(8);lhkA(6),1/2a;3a,-,-,-,-,-,-,-,-,-
22_LM_06329_S29,22_LM_06329_S29_R1_001.fastq.gz,22_LM_06329_S29_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,216336313,75.11,84.693,PASS,Listeria monocytogenes,PASS,0.500,PASS,98,2,c__Bacilli_(UID354),99.45,0.55,100.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_3;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,2.887881,2837,2.98674675,0.0841220136153,3023.75,112.803756586,18,259846,PASS,GOOD,-,abcZ(7);bglA(10);cat(16);dapE(7-718);dat(5);ldh(2);lhkA(1),1/2a;3a,-,-,-,-,-,-,-,-,-
22_LM_06330_S30,22_LM_06330_S30_R1_001.fastq.gz,22_LM_06330_S30_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,237699467,82.53,84.735,PASS,Listeria monocytogenes,PASS,2.000,PASS,98,2,c__Bacilli_(UID354),99.45,1.23,50.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_3;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,2.934918,2933,2.97686622222,0.0648666693984,3009.22222222,87.6264518381,31,194762,PASS,GOOD,37,abcZ(5);bglA(7);cat(3);dapE(5);dat(1);ldh(8);lhkA(6),1/2a;3a,-,-,-,-,-,-,-,-,-
22_LM_06331_S31,22_LM_06331_S31_R1_001.fastq.gz,22_LM_06331_S31_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,211953075,73.59,84.284,PASS,Listeria monocytogenes,PASS,3.000,FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22_LM_07330_S32,22_LM_07330_S32_R1_001.fastq.gz,22_LM_07330_S32_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,188373027,65.40,82.595,PASS,Listeria monocytogenes,PASS,1.500,FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22_LM_07332_S33,22_LM_07332_S33_R1_001.fastq.gz,22_LM_07332_S33_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,237326473,82.40,84.519,PASS,Listeria monocytogenes,PASS,1.500,FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22_LM_07333_S34,22_LM_07333_S34_R1_001.fastq.gz,22_LM_07333_S34_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,214574140,74.50,83.790,PASS,Listeria monocytogenes,PASS,2.500,FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22_LM_07335_S35,22_LM_07335_S35_R1_001.fastq.gz,22_LM_07335_S35_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,164881806,57.25,83.859,PASS,Listeria monocytogenes,PASS,1.500,PASS,98,2,c__Bacilli_(UID354),99.45,0.55,0.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_3;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,3.010189,2997,2.980413,0.0323390722295,3020.33333333,38.6896483428,21,397509,PASS,GOOD,9,abcZ(6);bglA(5);cat(6);dapE(4);dat(1);ldh(4);lhkA(1),1/2c;3c,-,-,-,-,-,-,-,-,-
22_LM_07337_S37,22_LM_07337_S37_R1_001.fastq.gz,22_LM_07337_S37_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,167282145,58.08,82.735,PASS,Listeria monocytogenes,PASS,0.500,PASS,98,2,,PASS,BAD,,,,-,-,-,-,-,-,-,-,-
22_LM_07338_S38,22_LM_07338_S38_R1_001.fastq.gz,22_LM_07338_S38_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,170240038,59.11,83.867,PASS,Listeria monocytogenes,PASS,1.500,FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22_LM_07339_S39,22_LM_07339_S39_R1_001.fastq.gz,22_LM_07339_S39_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,174464250,60.57,83.455,PASS,Listeria monocytogenes,PASS,0.000,PASS,98,2,c__Bacilli_(UID354),99.45,0.27,0.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_3;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,3.009091,2993,2.980413,0.0323390722295,3020.33333333,38.6896483428,25,398171,PASS,GOOD,9,abcZ(6);bglA(5);cat(6);dapE(4);dat(1);ldh(4);lhkA(1),1/2c;3c,-,-,-,-,-,-,-,-,-
22_LM_07467_S40,22_LM_07467_S40_R1_001.fastq.gz,22_LM_07467_S40_R2_001.fastq.gz,Listeria monocytogenes,2.880,2.7,3.2,3,200,301,176392587,61.24,83.079,PASS,Listeria monocytogenes,PASS,0.000,PASS,98,2,c__Bacilli_(UID354),99.45,0.27,0.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_3;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes,3.010232,2994,2.980413,0.0323390722295,3020.33333333,38.6896483428,28,398171,PASS,GOOD,9,abcZ(6);bglA(5);cat(6);dapE(4);dat(1);ldh(4);lhkA(1),1/2c;3c,-,-,-,-,-,-,-,-,-
